episode,timesteps,reward,red_car_escaped
0,766,-2146.0,0
1,869,617.0,0
2,1045,114.0,0
3,1386,-491.0,0
4,1757,-576.0,0
5,1804,763.0,0
6,2330,-1071.0,0
7,2341,949.0,0
8,2465,471.0,0
9,2818,-598.0,0
10,2850,858.0,0
11,2861,954.0,0
12,2903,813.0,0
13,2974,694.0,0
14,3186,143.0,0
15,3275,611.0,0
16,3290,945.0,0
17,3461,179.0,0
18,3546,625.0,0
19,3692,434.0,0
20,4206,-1474.0,0
21,4216,955.0,0
22,4269,762.0,0
23,4540,-156.0,0
24,4580,820.0,0
25,4782,143.0,0
26,4803,914.0,0
27,4830,883.0,0
28,4860,880.0,0
29,4921,744.0,0
30,4941,905.0,0
31,5195,-154.0,0
32,5231,819.0,0
33,5334,567.0,0
34,5741,-902.0,0
35,5842,524.0,0
36,5881,821.0,0
37,5882,994.0,0
38,6142,-185.0,0
39,6275,437.0,0
40,6452,118.0,0
41,6498,809.0,0
42,6565,693.0,0
43,6652,573.0,0
44,6707,790.0,0
45,6786,631.0,0
46,6847,744.0,0
47,6944,578.0,0
48,6993,781.0,0
49,7058,685.0,0
50,7135,613.0,0
51,7167,838.0,0
52,7186,926.0,0
53,7193,973.0,0
54,7210,923.0,0
55,7231,914.0,0
56,7456,20.0,0
57,7468,953.0,0
58,7561,522.0,0
59,7581,910.0,0
60,7586,980.0,0
61,7619,857.0,0
62,8106,-1452.0,0
63,8131,930.0,0
64,8177,809.0,0
65,8215,847.0,0
66,8227,958.0,0
67,8267,840.0,0
68,8276,981.0,0
69,8320,816.0,0
70,8390,665.0,0
71,8455,715.0,0
72,8498,827.0,0
73,8624,544.0,0
74,8695,694.0,0
75,8779,676.0,0
76,8780,994.0,0
77,8849,646.0,0
78,8909,730.0,0
79,8931,888.0,0
80,8932,999.0,0
81,8953,934.0,0
82,8979,904.0,0
83,8980,994.0,0
84,9065,575.0,0
85,9072,983.0,0
86,9095,912.0,0
87,9137,823.0,0
88,9178,784.0,0
89,9236,732.0,0
90,9262,879.0,0
91,9331,726.0,0
92,9389,752.0,0
93,9422,842.0,0
94,9501,651.0,0
95,9525,886.0,0
96,9536,954.0,0
97,9562,909.0,0
98,9570,972.0,0
99,9599,861.0,0
100,9654,770.0,0
101,9728,641.0,0
102,9813,585.0,0
103,9851,832.0,0
104,9852,994.0,0
105,9904,773.0,0
106,9938,831.0,0
107,9974,859.0,0
108,10035,754.0,0
109,10061,869.0,0
110,10171,455.0,0
111,10221,795.0,0
112,10227,974.0,0
113,10262,860.0,0
114,10277,955.0,0
115,10317,800.0,0
116,10383,784.0,0
117,10455,678.0,0
118,10736,-201.0,0
119,10756,910.0,0
120,10809,797.0,0
121,10832,892.0,0
122,10889,773.0,0
123,11072,247.0,0
124,11122,765.0,0
125,11172,790.0,0
126,11228,729.0,0
127,11282,726.0,0
128,11347,695.0,0
129,11392,815.0,0
130,11393,994.0,0
131,11596,87.0,0
132,11613,908.0,0
133,11614,999.0,0
134,11815,94.0,0
135,11892,623.0,0
136,11893,994.0,0
137,12009,489.0,0
138,12010,994.0,0
139,12102,548.0,0
140,12146,801.0,0
141,12182,869.0,0
142,12189,978.0,0
143,12233,811.0,0
144,12261,887.0,0
145,12354,512.0,0
146,12365,964.0,0
147,12373,967.0,0
148,12374,994.0,0
149,12375,994.0,0
150,12389,936.0,0
151,12420,849.0,0
152,12423,997.0,0
153,12461,842.0,0
154,12575,491.0,0
155,12639,711.0,0
156,12640,999.0,0
157,12647,973.0,0
158,12724,668.0,0
159,12729,985.0,0
160,12761,858.0,0
161,12773,963.0,0
162,12774,994.0,0
163,12801,878.0,0
164,12828,893.0,0
165,12904,674.0,0
166,12917,942.0,0
167,12996,676.0,0
168,13528,-1472.0,0
169,13927,-819.0,0
170,14093,184.0,0
171,14241,342.0,0
172,14289,777.0,0
173,14295,984.0,0
174,14303,972.0,0
175,14319,944.0,0
176,14331,938.0,0
177,14378,783.0,0
178,14412,871.0,0
179,14413,994.0,0
180,14469,749.0,0
181,14470,994.0,0
182,14562,568.0,0
183,14567,985.0,0
184,14604,838.0,0
185,14649,800.0,0
186,14650,994.0,0
187,14651,994.0,0
188,14673,918.0,0
189,14682,971.0,0
190,14746,656.0,0
191,14802,734.0,0
192,14826,906.0,0
193,14850,911.0,0
194,14869,911.0,0
195,14913,806.0,0
196,14941,882.0,0
197,14986,780.0,0
198,14987,999.0,0
199,14988,994.0,0
200,15023,860.0,0
201,15074,744.0,0
202,15221,263.0,0
203,15222,994.0,0
204,15258,814.0,0
205,15296,832.0,0
206,15322,889.0,0
207,15332,960.0,0
208,15352,915.0,0
209,15412,735.0,0
210,15418,979.0,0
211,15455,798.0,0
212,15497,848.0,0
213,15498,999.0,0
214,15554,764.0,0
215,15611,743.0,0
216,15621,960.0,0
217,15996,-725.0,0
218,16021,890.0,0
219,16045,906.0,0
220,16072,893.0,0
221,16094,918.0,0
222,16107,962.0,0
223,16138,864.0,0
224,16211,732.0,0
225,16260,776.0,0
226,16261,994.0,0
227,16293,853.0,0
228,16294,994.0,0
229,16295,994.0,0
230,16303,972.0,0
231,16304,994.0,0
232,16404,530.0,0
233,16410,974.0,0
234,16411,994.0,0
235,16433,918.0,0
236,16440,968.0,0
237,16505,710.0,0
238,16515,970.0,0
239,16567,778.0,0
240,16618,754.0,0
241,16660,838.0,0
242,16673,952.0,0
243,16694,904.0,0
244,16703,961.0,0
245,16742,806.0,0
246,16754,958.0,0
247,16800,799.0,0
248,16829,856.0,0
249,16887,762.0,0
250,16917,855.0,0
251,16940,897.0,0
252,16952,953.0,0
253,16997,820.0,0
254,17016,931.0,0
255,17051,860.0,0
256,17063,948.0,0
257,17064,994.0,0
258,17099,825.0,0
259,17236,373.0,0
260,17401,240.0,0
261,17415,946.0,0
262,17534,486.0,0
263,17597,702.0,0
264,17664,678.0,0
265,17722,742.0,0
266,17723,994.0,0
267,17808,620.0,0
268,17852,846.0,0
269,17871,931.0,0
270,17888,928.0,0
271,17898,960.0,0
272,17899,994.0,0
273,17911,948.0,0
274,17933,898.0,0
275,17934,994.0,0
276,17935,994.0,0
277,17936,994.0,0
278,17955,936.0,0
279,17970,950.0,0
280,17983,957.0,0
281,18016,867.0,0
282,18017,994.0,0
283,18043,894.0,0
284,18053,960.0,0
285,18096,787.0,0
286,18144,842.0,0
287,18146,998.0,0
288,18196,745.0,0
289,18197,994.0,0
290,18213,949.0,0
291,18214,999.0,0
292,18285,684.0,0
293,18286,994.0,0
294,18293,978.0,0
295,18323,875.0,0
296,18324,994.0,0
297,18338,956.0,0
298,18339,999.0,0
299,18476,398.0,0
300,18477,994.0,0
301,18488,969.0,0
302,18523,870.0,0
303,18524,994.0,0
304,18525,994.0,0
305,18527,998.0,0
306,18528,999.0,0
307,18529,994.0,0
308,18530,994.0,0
309,18531,994.0,0
310,18636,475.0,0
311,18657,894.0,0
312,18673,929.0,0
313,18683,970.0,0
314,18708,875.0,0
315,18730,928.0,0
316,18732,998.0,0
317,18764,858.0,0
318,18781,928.0,0
319,18795,956.0,0
320,18798,997.0,0
321,18886,607.0,0
322,18894,982.0,0
323,18895,994.0,0
324,18933,832.0,0
325,18943,970.0,0
326,19015,673.0,0
327,19021,979.0,0
328,19022,994.0,0
329,19029,988.0,0
330,19030,994.0,0
331,19036,984.0,0
332,19055,936.0,0
333,19084,876.0,0
334,19085,994.0,0
335,19109,886.0,0
336,19119,960.0,0
