episode,timesteps,reward,red_car_escaped
0,325,-295.0,1
1,1119,-2674.0,1
2,1140,909.0,1
3,1192,753.0,1
4,1375,187.0,1
5,1508,417.0,1
6,1557,801.0,1
7,1873,-506.0,1
8,2131,-128.0,1
9,2167,844.0,1
10,2334,278.0,1
11,2429,570.0,1
12,2486,728.0,1
13,2608,543.0,1
14,3061,-948.0,1
15,3151,645.0,1
16,3426,-215.0,1
17,4205,-2444.0,1
18,4221,934.0,1
19,4304,622.0,1
20,4322,922.0,1
21,4404,623.0,1
22,4437,877.0,1
23,4604,318.0,1
24,4645,804.0,1
25,4658,947.0,1
26,4724,744.0,1
27,5055,-621.0,1
28,5598,-1293.0,1
29,5609,964.0,1
30,5620,969.0,1
31,5641,914.0,1
32,5653,958.0,1
33,5837,271.0,1
34,5993,424.0,1
35,6097,566.0,1
36,6245,367.0,1
37,6265,920.0,1
38,6276,964.0,1
39,6333,753.0,1
40,6429,564.0,1
41,6446,928.0,1
42,6606,255.0,1
43,6648,838.0,1
44,6834,174.0,1
45,6881,828.0,1
46,6923,803.0,1
47,6963,835.0,1
48,6990,888.0,1
49,7046,784.0,1
50,7060,931.0,1
51,7090,865.0,1
52,7159,746.0,1
53,7420,-161.0,1
54,7449,886.0,1
55,7529,605.0,1
56,7546,933.0,1
57,7599,762.0,1
58,7616,948.0,1
59,7659,792.0,1
60,8098,-964.0,1
61,8167,711.0,1
62,8208,804.0,1
63,8282,611.0,1
64,8419,448.0,1
65,8460,809.0,1
66,8504,811.0,1
67,8576,648.0,1
68,8717,429.0,1
69,8809,548.0,1
70,8885,634.0,1
71,8955,695.0,1
72,9070,495.0,1
73,9121,754.0,1
74,9151,880.0,1
75,9232,589.0,1
76,9351,516.0,1
77,9414,687.0,1
78,9444,870.0,1
79,9445,994.0,1
80,9467,898.0,1
81,9523,764.0,1
82,9524,994.0,1
83,9778,-244.0,1
84,9809,854.0,1
85,10025,-6.0,1
86,10064,831.0,1
87,10077,962.0,1
88,10111,851.0,1
89,10112,994.0,1
90,10359,-77.0,1
91,10495,399.0,1
92,10547,778.0,1
93,10633,599.0,1
94,10634,994.0,1
95,10654,935.0,1
96,10676,918.0,1
97,10677,994.0,1
98,10689,958.0,1
99,10753,721.0,1
